ID	Total CPU (seconds)	Peak Memory (kbytes)	Note
S-1.log	623.07	3942248	
S-10.log	5667.87	8254356	
S-100.log	1795.53	4234932	
S-11.log	7590.59	9862364	
S-12.log	9473.87	15764172	Failed assembly
S-13.log	954.58	2203992	
S-14.log	24727.89	19871852	
S-15.log	915.06	4374720	
S-16.log	4719.33	5001612	
S-17.log	7548.94	9080044	
S-18.log	1596.76	1471524	Failed assembly
S-19.log	613.4	2980260	
S-2.log	1376.72	3517404	
S-20.log	454.96	2556104	
S-21.log	555.54	3660212	
S-22.log	3402.32	5177304	
S-23.log	3429.95	4901724	
S-24.log	1711.31	4159340	
S-25.log	1047.79	4512456	
S-26.log	884.44	3766020	
S-27.log	577.46	2992160	
S-28.log	1141.83	2633720	
S-29.log	2921.26	5713524	
S-3.log	4816.97	8148844	
S-30.log	16951.08	16448572	
S-31.log	10268.92	8474356	Failed assembly
S-32.log	8752.36	10918976	
S-33.log	4074.98	7704824	
S-34.log	871.79	1871104	
S-35.log	16412.31	15735500	
S-36.log	2035.35	4911464	
S-37.log	4262.74	8837520	
S-38.log	4399.89	4925828	
S-39.log	10938.73	15464884	
S-4.log	2237.66	4984116	
S-40.log	4483.08	7922532	
S-41.log	10178.38	15470512	
S-42.log	985.89	2574776	
S-43.log	4170.43	4512204	
S-44.log	1604.01	3971160	
S-45.log	3551.12	6213472	
S-46.log	6469.87	6245796	
S-47.log	1560.05	4282572	
S-48.log	859.6	3981452	
S-49.log	1127.49	4224864	
S-5.log	6635.47	9753948	
S-50.log	805.55	5166028	
S-51.log	1440.43	3979520	
S-52.log	10765.53	15637692	
S-53.log	1451.92	2653240	
S-54.log	6233.51	9050664	
S-55.log	442.46	2840524	
S-56.log	421.82	3285772	Failed assembly
S-57.log	3904.55	4843976	
S-58.log	951.52	4517452	
S-59.log	1129.28	3778688	
S-6.log	3120.39	5224008	
S-60.log	10320.49	7917240	
S-61.log	727.02	3600120	
S-62.log	951.7	2110168	
S-63.log	4107.81	7916596	
S-64.log	3558.5	4681520	
S-65.log	3151.56	4850132	
S-66.log	1673.51	5135912	
S-67.log	14320.14	5370996	
S-68.log	7299.06	8081632	
S-69.log	3311.69	5007000	
S-7.log	2357.17	3468800	
S-70.log	6752.68	8905092	
S-71.log	15816.48	17078432	
S-72.log	1202.31	3753464	
S-73.log	6454.04	7710004	
S-74.log	7677.94	9790428	
S-75.log	3102.12	5239388	
S-76.log	2382.85	4833116	
S-77.log	8449.47	9929824	
S-78.log	17714.91	15874044	
S-79.log	8742.14	9884328	
S-8.log	4831.86	8017240	
S-80.log	3663.53	5369848	
S-81.log	7432.82	9571808	
S-82.log	735.5	2404140	
S-83.log	5878.37	9652428	
S-84.log	5899.26	8486212	
S-85.log	1073.89	3540408	
S-86.log	11125.75	15446352	
S-87.log	502.13	2142708	
S-88.log	10766.76	7898924	
S-89.log	27683.82	10366032	
S-9.log	2135.34	2862972	
S-90.log	10225.52	8397632	
S-91.log	3276.36	3852864	
S-92.log	7705.41	5784116	
S-93.log	282.84	3279128	Failed assembly
S-94.log	1600.37	4722032	
S-95.log	3033.13	5349068	
S-96.log	740.59	2037004	
S-97.log	5500.87	4733248	
S-98.log	1376.94	4562168	
S-99.log	0.38	25688	Failed assembly